IndoorEquipment;IndoorStages;OutdoorEquipment;OutdoorStages;OB;OutOfBoxConfiguration;SchedulingCapable;MaxStepsPerDayCapable;SeparateDaysPerWeekCapable;HoldModesCapable;DegreesFcCapable;TempOffsetCapable;TempNegativeOffsetLimit;TempPositiveOffsetLimit;HumidityOffsetCapable;HumidityNegativeOffsetLimit;HumidityPositiveOffsetLimit;LocalHumidityDisplayCapable;OutdoorTempDisplayCapable;LocalTimeDisplayCapable;AdjustableHeatCycleRateCapable;AdjustableHeatCycleRateNoOfSteps;AdjustableCoolCycleRateCapable;AdjustableCoolCycleRateNoOfSteps;AdjustableAuxCycleRateCapable;AdjustableAuxCycleRateNoOfSteps;Id;Updated;UpdateUser
elecheat;1;heatpump;1;1;1;1;8;7;1;1;1;5;5;1;25;25;1;1;1;1;3;1;3;1;3;15320;2014-10-22 12:29:35;1
elecheat;1;heatpump;1;1;1;1;8;7;1;1;1;5;5;1;25;25;1;1;1;1;3;1;3;1;3;2764;2014-05-12 14:32:32;1
elecheat;1;heatpump;1;1;1;1;8;7;1;1;1;5;5;1;25;25;1;1;1;1;3;1;3;1;3;16188;2014-10-30 10:42:14;1
elecheat;2;heatpump;2;2;1;1;8;7;1;1;1;5;5;1;25;25;1;1;1;1;3;1;3;1;3;2693;2014-11-26 06:56:02;1
gasheat;2;heatpump;2;1;1;1;8;7;1;1;1;5;5;1;25;25;1;1;1;1;3;1;3;1;3;5862;2014-07-02 10:14:57;1
gasheat;2;heatpump;2;1;0;1;8;7;1;1;1;5;5;1;25;25;1;1;1;1;3;1;3;1;3;16390;2014-10-31 18:16:54;1
gasheat;2;heatpump;2;2;1;1;8;7;1;1;1;5;5;1;25;25;1;1;1;1;3;1;3;1;3;17547;2014-11-09 17:24:32;1
elecheat;1;heatpump;1;1;1;1;8;7;1;1;1;5;5;1;25;25;1;1;1;1;3;1;3;1;3;1106;2014-03-13 21:06:30;IIS APPPOOL\AnalysisServices
gasheat;2;heatpump;2;1;0;1;8;7;1;1;1;5;5;1;25;25;1;1;1;1;3;1;3;1;3;6983;2014-07-17 20:28:13;1
gasheat;2;heatpump;2;1;0;1;8;7;1;1;1;5;5;1;25;25;1;1;1;1;3;1;3;1;3;13265;2014-10-02 11:10:49;1
