auditid;HoldHeatSetpoint;HoldCoolSetpoint;NonProgrammableHeatSetpoint;NonProgrammableCoolSetpoint;SystemSwitchSetting;FanMode;ScheduleOnOff;HoldMode;ContinuousBacklight;Degrees;TempOffset;HumidityOffset;LocalHumidityDisplayEnabled;OutdoorTempDisplayEnabled;LocalTimeDisplayEnabled;HeatCycleRate;CoolCycleRate;AuxCycleRate;FastSecondStageHeat;FastSecondStageCool;FastSecondStageAux;ComfortRecovery;Id;Updated
1106;255;255;62;74;heat;on;1;0;1;F;0;0;1;0;1;0;1;1;1;1;1;1;1106;2014-11-29 07:00:05
2693;255;255;65;70;off;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-12-04 22:27:55
2764;255;255;68;78;heat;on;1;0;0;F;0;0;1;0;1;0;0;1;1;1;1;0;2764;2014-12-03 23:34:35
5862;255;255;68;71;auto cool;auto;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-12-03 15:09:50
6983;255;255;62;82;cool;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;6983;2014-10-14 01:07:49
13265;255;255;73;74;heat;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;13265;2014-12-05 11:24:43
15320;255;255;70;85;heat;on;1;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;15320;2014-11-26 06:19:01
16188;255;255;69;61;heat;on;1;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-12-03 18:26:05
16390;255;255;61;74;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-12-05 10:19:15
17547;255;255;68;65;heat;on;1;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;17547;2014-11-09 17:24:32
3694186;62;74;70;73;cool;on;1;1;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-10-04 23:17:36
3694729;255;255;64;72;cool;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-10-04 21:21:35
3694734;255;255;64;72;heat;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-10-05 06:32:16
3695364;255;255;68;72;heat;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-10-05 06:32:29
3695553;255;255;68;72;auto cool;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-10-05 07:14:24
3695615;255;255;67;72;auto cool;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-10-05 07:22:16
3695736;255;255;66;72;auto cool;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-10-05 07:25:24
3695902;255;255;67;72;auto cool;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-10-05 07:30:10
3696192;255;255;66;72;auto cool;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-10-05 07:39:52
3696409;255;255;73;74;off;on;1;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;13265;2014-10-04 07:33:49
3701908;255;255;64;72;auto cool;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-10-05 07:55:17
3702584;255;255;62;83;cool;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;6983;2014-10-04 23:15:42
3702989;255;255;65;72;auto cool;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-10-05 16:12:38
3703584;255;255;74;78;cool;on;0;0;0;F;0;0;0;0;1;1;0;1;1;1;1;0;2764;2014-10-04 23:39:44
3704011;255;255;70;73;cool;on;1;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-10-05 06:00:05
3705351;255;255;74;74;cool;on;0;0;0;F;0;0;0;0;1;1;0;1;1;1;1;0;2764;2014-10-05 18:32:29
3706217;255;255;70;73;off;on;1;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-10-05 18:57:56
3707545;255;255;62;78;cool;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;6983;2014-10-05 17:02:41
3708820;72;73;73;74;heat;on;1;1;0;F;0;0;1;0;1;1;1;1;1;1;1;0;13265;2014-10-05 08:49:24
3710969;67;78;73;74;heat;on;1;1;0;F;0;0;1;0;1;1;1;1;1;1;1;0;13265;2014-10-06 04:55:13
3714176;255;255;73;74;heat;on;1;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;13265;2014-10-06 06:55:06
3716165;255;255;67;72;auto cool;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-10-05 17:37:34
3717254;67;83;73;74;heat;on;1;1;0;F;0;0;1;0;1;1;1;1;1;1;1;0;13265;2014-10-06 10:00:02
3718650;67;75;73;74;heat;on;1;1;0;F;0;0;1;0;1;1;1;1;1;1;1;0;13265;2014-10-06 14:20:53
3721172;255;255;62;82;cool;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;6983;2014-10-06 01:33:09
3723434;255;255;74;78;cool;on;0;0;0;F;0;0;0;0;1;1;0;1;1;1;1;0;2764;2014-10-05 23:26:17
3724596;255;255;70;73;cool;on;1;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-10-05 23:59:26
3726701;70;85;70;73;cool;on;1;1;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-10-06 20:57:48
3726710;62;86;70;73;cool;on;1;1;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-10-06 22:29:37
3727354;255;255;74;74;cool;on;0;0;0;F;0;0;0;0;1;1;0;1;1;1;1;0;2764;2014-10-06 20:00:32
3727365;255;255;74;73;cool;on;0;0;0;F;0;0;0;0;1;1;0;1;1;1;1;0;2764;2014-10-06 23:07:02
3728556;255;255;62;80;cool;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;6983;2014-10-06 18:08:16
3730231;62;78;70;73;cool;on;1;1;0;F;0;0;1;0;1;1;1;1;1;1;1;0;2693;2014-10-06 22:29:55
3735829;255;255;73;74;heat;on;1;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;13265;2014-10-06 16:00:01
